,ref_time,start_time_wrt_ref,end_time_wrt_ref,call_start_time,call_end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
939,2022-08-27 03:42:00,35.9285,35.9361,2022-08-27 03:42:35.928500000,2022-08-27 03:42:35.936100000,28046.0,38098.0,Echolocation,Eptesicus serotinus,0.425,0.582,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
940,2022-08-27 03:42:00,36.0135,36.0223,2022-08-27 03:42:36.013500000,2022-08-27 03:42:36.022300000,28906.0,36506.0,Echolocation,Eptesicus serotinus,0.324,0.512,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
941,2022-08-27 03:42:00,38.3365,38.3485,2022-08-27 03:42:38.336500000,2022-08-27 03:42:38.348500000,25468.0,36520.0,Echolocation,Eptesicus serotinus,0.417,0.615,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1257,2022-08-27 03:48:00,16.4565,16.4663,2022-08-27 03:48:16.456500000,2022-08-27 03:48:16.466300000,24609.0,31507.0,Echolocation,Eptesicus serotinus,0.278,0.562,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1259,2022-08-27 03:48:00,17.9855,17.9967,2022-08-27 03:48:17.985500000,2022-08-27 03:48:17.996700000,24609.0,34409.0,Echolocation,Eptesicus serotinus,0.355,0.568,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1382,2022-08-27 03:48:00,46.7075,46.7199,2022-08-27 03:48:46.707500000,2022-08-27 03:48:46.719900000,26328.0,34847.0,Echolocation,Eptesicus serotinus,0.324,0.564,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1383,2022-08-27 03:48:00,47.3115,47.3237,2022-08-27 03:48:47.311500000,2022-08-27 03:48:47.323700000,24609.0,33937.0,Echolocation,Eptesicus serotinus,0.33,0.592,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1384,2022-08-27 03:48:00,47.4685,47.481,2022-08-27 03:48:47.468500000,2022-08-27 03:48:47.481000000,24609.0,34443.0,Echolocation,Eptesicus serotinus,0.41,0.513,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1385,2022-08-27 03:48:00,47.7365,47.7481,2022-08-27 03:48:47.736500000,2022-08-27 03:48:47.748100000,25468.0,36573.0,Echolocation,Eptesicus serotinus,0.434,0.563,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1386,2022-08-27 03:48:00,48.0095,48.0207,2022-08-27 03:48:48.009500000,2022-08-27 03:48:48.020700000,24609.0,34332.0,Echolocation,Eptesicus serotinus,0.385,0.613,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1387,2022-08-27 03:48:00,48.1635,48.1755,2022-08-27 03:48:48.163500000,2022-08-27 03:48:48.175500000,24609.0,34755.0,Echolocation,Eptesicus serotinus,0.411,0.659,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1388,2022-08-27 03:48:00,48.4245,48.4363,2022-08-27 03:48:48.424500000,2022-08-27 03:48:48.436300000,24609.0,36234.0,Echolocation,Eptesicus serotinus,0.464,0.643,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1389,2022-08-27 03:48:00,49.4045,49.414,2022-08-27 03:48:49.404500000,2022-08-27 03:48:49.414000000,25468.0,34320.0,Echolocation,Eptesicus serotinus,0.381,0.565,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1774,2022-08-27 05:06:00,7.6885,7.6953,2022-08-27 05:06:07.688500000,2022-08-27 05:06:07.695300000,39218.0,45845.0,Echolocation,Pipistrellus nathusii,0.423,0.502,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_050000.WAV,recover-20220828,UBNA_007,Telephone Field
2452,2022-08-27 06:12:00,45.0015,45.0096,2022-08-27 06:12:45.001500000,2022-08-27 06:12:45.009600000,38359.0,45990.0,Echolocation,Pipistrellus nathusii,0.403,0.546,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_060000.WAV,recover-20220828,UBNA_007,Telephone Field
680,2022-08-27 07:42:00,0.4705,0.479,2022-08-27 07:42:00.470500000,2022-08-27 07:42:00.479000000,39218.0,45864.0,Echolocation,Pipistrellus nathusii,0.437,0.552,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_073000.WAV,recover-20220828,UBNA_007,Telephone Field
7391,2022-08-27 08:24:00,41.1365,41.1442,2022-08-27 08:24:41.136500000,2022-08-27 08:24:41.144200000,39218.0,45568.0,Echolocation,Pipistrellus nathusii,0.504,0.543,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_080000.WAV,recover-20220828,UBNA_007,Telephone Field
7430,2022-08-27 08:24:00,46.2865,46.2952,2022-08-27 08:24:46.286500000,2022-08-27 08:24:46.295200000,39218.0,45528.0,Echolocation,Pipistrellus nathusii,0.47,0.518,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_080000.WAV,recover-20220828,UBNA_007,Telephone Field
164,2022-08-27 09:00:00,29.9785,29.9848,2022-08-27 09:00:29.978500000,2022-08-27 09:00:29.984800000,38359.0,45724.0,Echolocation,Pipistrellus nathusii,0.427,0.509,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_090000.WAV,recover-20220828,UBNA_007,Telephone Field
3560,2022-08-27 10:48:00,29.4535,29.463,2022-08-27 10:48:29.453500000,2022-08-27 10:48:29.463000000,40078.0,45738.0,Echolocation,Pipistrellus nathusii,0.532,0.556,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_103000.WAV,recover-20220828,UBNA_007,Telephone Field
3622,2022-08-27 10:48:00,39.4605,39.4689,2022-08-27 10:48:39.460500000,2022-08-27 10:48:39.468900000,38359.0,45486.0,Echolocation,Pipistrellus nathusii,0.452,0.587,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_103000.WAV,recover-20220828,UBNA_007,Telephone Field
251,2022-08-28 03:30:00,56.6305,56.638,2022-08-28 03:30:56.630500000,2022-08-28 03:30:56.638000000,28906.0,39039.0,Echolocation,Eptesicus serotinus,0.46,0.606,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220828_033000.WAV,recover-20220828,UBNA_007,Telephone Field
