index,index_in_file,peak_frequency,index_in_summary,input_file_dt,freq_group,ref_time,call_start_time,call_end_time,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card,File Duration
11,861,27840.0,862,2022-06-15 04:30:00,HF,2022-06-15 04:47:50.097500000,2022-06-15 04:47:50.097500000,2022-06-15 04:47:50.106100000,1070.0975,1070.1061,24609.0,49239.0,Echolocation,Eptesicus serotinus,0.474,0.708,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_043000.WAV,Foliage,recover-20220616_unit2,10,
12,16,38400.0,1489,2022-06-15 05:00:00,HF,2022-06-15 05:02:19.018500000,2022-06-15 05:02:19.018500000,2022-06-15 05:02:19.027900000,139.0185,139.0279,36640.0,43490.0,Echolocation,Pipistrellus nathusii,0.538,0.603,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_050000.WAV,Foliage,recover-20220616_unit2,10,
13,315,39360.0,1788,2022-06-15 05:00:00,HF,2022-06-15 05:17:44.984500000,2022-06-15 05:17:44.984500000,2022-06-15 05:17:44.992200000,1064.9845,1064.9922,37500.0,46145.0,Echolocation,Pipistrellus nathusii,0.603,0.671,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_050000.WAV,Foliage,recover-20220616_unit2,10,
15,136,43200.0,2298,2022-06-15 06:00:00,HF,2022-06-15 06:16:32.175500000,2022-06-15 06:16:32.175500000,2022-06-15 06:16:32.183100000,992.1755,992.1831,41796.0,54529.0,Echolocation,Pipistrellus nathusii,0.435,0.539,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
16,137,43200.0,2299,2022-06-15 06:00:00,HF,2022-06-15 06:16:32.366500000,2022-06-15 06:16:32.366500000,2022-06-15 06:16:32.373600000,992.3665,992.3736,42656.0,55600.0,Echolocation,Pipistrellus nathusii,0.348,0.526,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
17,138,44160.0,2300,2022-06-15 06:00:00,HF,2022-06-15 06:16:32.464500000,2022-06-15 06:16:32.464500000,2022-06-15 06:16:32.472300000,992.4645,992.4723,42656.0,53143.0,Echolocation,Pipistrellus nathusii,0.428,0.547,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
18,139,44160.0,2301,2022-06-15 06:00:00,HF,2022-06-15 06:16:32.563500000,2022-06-15 06:16:32.563500000,2022-06-15 06:16:32.572100000,992.5635,992.5721,42656.0,56795.0,Echolocation,Pipistrellus nathusii,0.539,0.587,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
19,140,43200.0,2302,2022-06-15 06:00:00,HF,2022-06-15 06:16:32.659500000,2022-06-15 06:16:32.659500000,2022-06-15 06:16:32.670200000,992.6595,992.6702,42656.0,51064.0,Echolocation,Pipistrellus nathusii,0.385,0.517,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
20,141,42240.0,2303,2022-06-15 06:00:00,HF,2022-06-15 06:16:32.759500000,2022-06-15 06:16:32.759500000,2022-06-15 06:16:32.766100000,992.7595,992.7661,40937.0,53634.0,Echolocation,Pipistrellus nathusii,0.574,0.625,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
21,142,45120.0,2304,2022-06-15 06:00:00,HF,2022-06-15 06:16:32.854500000,2022-06-15 06:16:32.854500000,2022-06-15 06:16:32.865700000,992.8545,992.8657,42656.0,52061.0,Echolocation,Pipistrellus nathusii,0.51,0.581,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
22,143,44160.0,2305,2022-06-15 06:00:00,HF,2022-06-15 06:16:32.966500000,2022-06-15 06:16:32.966500000,2022-06-15 06:16:32.974700000,992.9665,992.9747,41796.0,51949.0,Echolocation,Pipistrellus nathusii,0.469,0.554,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
23,144,44160.0,2306,2022-06-15 06:00:00,HF,2022-06-15 06:16:33.055500000,2022-06-15 06:16:33.055500000,2022-06-15 06:16:33.063900000,993.0555,993.0639,41796.0,57537.0,Echolocation,Pipistrellus nathusii,0.498,0.575,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
24,145,46080.0,2307,2022-06-15 06:00:00,HF,2022-06-15 06:16:33.159500000,2022-06-15 06:16:33.159500000,2022-06-15 06:16:33.167700000,993.1595,993.1677,41796.0,61965.0,Echolocation,Pipistrellus nathusii,0.391,0.546,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
25,146,43200.0,2308,2022-06-15 06:00:00,HF,2022-06-15 06:16:33.253500000,2022-06-15 06:16:33.253500000,2022-06-15 06:16:33.262500000,993.2535,993.2625,41796.0,56414.0,Echolocation,Pipistrellus nathusii,0.468,0.606,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
26,147,45120.0,2309,2022-06-15 06:00:00,HF,2022-06-15 06:16:33.434500000,2022-06-15 06:16:33.434500000,2022-06-15 06:16:33.445300000,993.4345,993.4453,40937.0,60311.0,Echolocation,Pipistrellus nathusii,0.527,0.574,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
27,148,44160.0,2310,2022-06-15 06:00:00,HF,2022-06-15 06:16:33.531500000,2022-06-15 06:16:33.531500000,2022-06-15 06:16:33.540600000,993.5315,993.5406,41796.0,59914.0,Echolocation,Pipistrellus nathusii,0.369,0.515,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
28,149,45120.0,2311,2022-06-15 06:00:00,HF,2022-06-15 06:16:33.631500000,2022-06-15 06:16:33.631500000,2022-06-15 06:16:33.638400000,993.6315,993.6384,41796.0,64099.0,Echolocation,Pipistrellus nathusii,0.507,0.586,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
29,150,43200.0,2312,2022-06-15 06:00:00,HF,2022-06-15 06:16:33.726500000,2022-06-15 06:16:33.726500000,2022-06-15 06:16:33.734700000,993.7265,993.7347,41796.0,60942.0,Echolocation,Pipistrellus nathusii,0.511,0.596,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
30,151,44160.0,2313,2022-06-15 06:00:00,HF,2022-06-15 06:16:33.824500000,2022-06-15 06:16:33.824500000,2022-06-15 06:16:33.834000000,993.8245,993.834,41796.0,60802.0,Echolocation,Pipistrellus nathusii,0.386,0.518,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
31,152,46080.0,2314,2022-06-15 06:00:00,HF,2022-06-15 06:16:33.915500000,2022-06-15 06:16:33.915500000,2022-06-15 06:16:33.924800000,993.9155,993.9248,41796.0,65412.0,Echolocation,Pipistrellus nathusii,0.47,0.558,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
32,153,46080.0,2315,2022-06-15 06:00:00,HF,2022-06-15 06:16:34.008500000,2022-06-15 06:16:34.008500000,2022-06-15 06:16:34.015500000,994.0085,994.0155,41796.0,63740.0,Echolocation,Pipistrellus nathusii,0.413,0.555,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
33,154,43200.0,2316,2022-06-15 06:00:00,HF,2022-06-15 06:16:34.103500000,2022-06-15 06:16:34.103500000,2022-06-15 06:16:34.109800000,994.1035,994.1098,41796.0,67196.0,Echolocation,Pipistrellus nathusii,0.472,0.537,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
34,155,46080.0,2317,2022-06-15 06:00:00,HF,2022-06-15 06:16:34.199500000,2022-06-15 06:16:34.199500000,2022-06-15 06:16:34.206900000,994.1995,994.2069,41796.0,63877.0,Echolocation,Pipistrellus nathusii,0.35,0.563,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
35,156,44160.0,2318,2022-06-15 06:00:00,HF,2022-06-15 06:16:34.294500000,2022-06-15 06:16:34.294500000,2022-06-15 06:16:34.300700000,994.2945,994.3007,40937.0,63044.0,Echolocation,Pipistrellus nathusii,0.313,0.501,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
36,157,44160.0,2319,2022-06-15 06:00:00,HF,2022-06-15 06:16:34.385500000,2022-06-15 06:16:34.385500000,2022-06-15 06:16:34.394300000,994.3855,994.3943,41796.0,59326.0,Echolocation,Pipistrellus nathusii,0.486,0.529,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
37,158,42240.0,2320,2022-06-15 06:00:00,HF,2022-06-15 06:16:37.758500000,2022-06-15 06:16:37.758500000,2022-06-15 06:16:37.765500000,997.7585,997.7655,40937.0,50128.0,Echolocation,Pipistrellus nathusii,0.646,0.684,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
38,159,41280.0,2321,2022-06-15 06:00:00,HF,2022-06-15 06:16:37.944500000,2022-06-15 06:16:37.944500000,2022-06-15 06:16:37.953200000,997.9445,997.9532,40078.0,48700.0,Echolocation,Pipistrellus nathusii,0.571,0.65,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
39,160,41280.0,2322,2022-06-15 06:00:00,HF,2022-06-15 06:16:38.164500000,2022-06-15 06:16:38.164500000,2022-06-15 06:16:38.173600000,998.1645,998.1736,40937.0,49219.0,Echolocation,Pipistrellus nathusii,0.604,0.635,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
40,161,44160.0,2323,2022-06-15 06:00:00,HF,2022-06-15 06:16:38.372500000,2022-06-15 06:16:38.372500000,2022-06-15 06:16:38.379800000,998.3725,998.3798,40937.0,50009.0,Echolocation,Pipistrellus nathusii,0.568,0.644,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
41,162,43200.0,2324,2022-06-15 06:00:00,HF,2022-06-15 06:16:38.472500000,2022-06-15 06:16:38.472500000,2022-06-15 06:16:38.478900000,998.4725,998.4789,41796.0,49224.0,Echolocation,Pipistrellus nathusii,0.512,0.557,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
42,163,46080.0,2325,2022-06-15 06:00:00,HF,2022-06-15 06:16:38.572500000,2022-06-15 06:16:38.572500000,2022-06-15 06:16:38.579200000,998.5725,998.5792,41796.0,49965.0,Echolocation,Pipistrellus nathusii,0.587,0.628,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
43,0,39360.0,2974,2022-06-15 09:30:00,HF,2022-06-15 09:37:55.889500000,2022-06-15 09:37:55.889500000,2022-06-15 09:37:55.901400000,475.8895,475.9014,38359.0,44592.0,Echolocation,Pipistrellus nathusii,0.508,0.566,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_093000.WAV,Foliage,recover-20220616_unit2,10,
44,78,46080.0,3052,2022-06-15 09:30:00,HF,2022-06-15 09:55:10.539500000,2022-06-15 09:55:10.539500000,2022-06-15 09:55:10.555600000,1510.5395,1510.5556,45234.0,51140.0,Echolocation,Pipistrellus pipistrellus,0.428,0.502,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_093000.WAV,Foliage,recover-20220616_unit2,10,
45,99,40320.0,3191,2022-06-15 11:00:00,HF,2022-06-15 11:17:45.878500000,2022-06-15 11:17:45.878500000,2022-06-15 11:17:45.889800000,1065.8785,1065.8898,36640.0,52568.0,Echolocation,Pipistrellus nathusii,0.541,0.58,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_110000.WAV,Foliage,recover-20220616_unit2,10,
46,103,40320.0,3195,2022-06-15 11:00:00,HF,2022-06-15 11:17:46.416500000,2022-06-15 11:17:46.416500000,2022-06-15 11:17:46.424200000,1066.4165,1066.4242,36640.0,59905.0,Echolocation,Pipistrellus nathusii,0.641,0.679,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_110000.WAV,Foliage,recover-20220616_unit2,10,
47,105,40320.0,3197,2022-06-15 11:00:00,HF,2022-06-15 11:17:46.691500000,2022-06-15 11:17:46.691500000,2022-06-15 11:17:46.697700000,1066.6915,1066.6977,36640.0,54185.0,Echolocation,Pipistrellus nathusii,0.525,0.584,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_110000.WAV,Foliage,recover-20220616_unit2,10,
48,107,39360.0,3199,2022-06-15 11:00:00,HF,2022-06-15 11:17:46.960500000,2022-06-15 11:17:46.960500000,2022-06-15 11:17:46.969100000,1066.9605,1066.9691,37500.0,58401.0,Echolocation,Pipistrellus nathusii,0.615,0.644,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_110000.WAV,Foliage,recover-20220616_unit2,10,
49,145,28800.0,3237,2022-06-15 11:00:00,HF,2022-06-15 11:22:21.269500000,2022-06-15 11:22:21.269500000,2022-06-15 11:22:21.272700000,1341.2695,1341.2727,26328.0,48963.0,Echolocation,Myotis nattereri,0.444,0.682,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_110000.WAV,Foliage,recover-20220616_unit2,10,
50,148,26880.0,3240,2022-06-15 11:00:00,HF,2022-06-15 11:22:21.566500000,2022-06-15 11:22:21.566500000,2022-06-15 11:22:21.569700000,1341.5665,1341.5697,25468.0,45359.0,Echolocation,Plecotus austriacus,0.384,0.682,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_110000.WAV,Foliage,recover-20220616_unit2,10,
51,149,27840.0,3241,2022-06-15 11:00:00,HF,2022-06-15 11:22:21.642500000,2022-06-15 11:22:21.642500000,2022-06-15 11:22:21.646000000,1341.6425,1341.646,24609.0,46646.0,Echolocation,Myotis nattereri,0.381,0.679,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_110000.WAV,Foliage,recover-20220616_unit2,10,
52,150,28800.0,3242,2022-06-15 11:00:00,HF,2022-06-15 11:22:21.682500000,2022-06-15 11:22:21.682500000,2022-06-15 11:22:21.686100000,1341.6825,1341.6861,25468.0,49405.0,Echolocation,Plecotus austriacus,0.222,0.597,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_110000.WAV,Foliage,recover-20220616_unit2,10,
53,57,27840.0,3365,2022-06-16 04:00:00,HF,2022-06-16 04:29:35.377500000,2022-06-16 04:29:35.377500000,2022-06-16 04:29:35.384500000,1775.3775,1775.3845,25468.0,48599.0,Echolocation,Eptesicus serotinus,0.538,0.652,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_040000.WAV,Foliage,recover-20220616_unit2,10,
54,248,33600.0,3656,2022-06-16 04:30:00,HF,2022-06-16 04:33:42.596500000,2022-06-16 04:33:42.596500000,2022-06-16 04:33:42.603600000,222.5965,222.6036,28906.0,45552.0,Echolocation,Eptesicus serotinus,0.478,0.552,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_043000.WAV,Foliage,recover-20220616_unit2,10,
55,249,34560.0,3657,2022-06-16 04:30:00,HF,2022-06-16 04:33:42.707500000,2022-06-16 04:33:42.707500000,2022-06-16 04:33:42.713400000,222.7075,222.7134,28906.0,46448.0,Echolocation,Eptesicus serotinus,0.498,0.605,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_043000.WAV,Foliage,recover-20220616_unit2,10,
56,251,31680.0,3659,2022-06-16 04:30:00,HF,2022-06-16 04:33:43.073500000,2022-06-16 04:33:43.073500000,2022-06-16 04:33:43.080600000,223.0735,223.0806,28046.0,47893.0,Echolocation,Eptesicus serotinus,0.56,0.676,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_043000.WAV,Foliage,recover-20220616_unit2,10,
57,282,29760.0,3690,2022-06-16 04:30:00,HF,2022-06-16 04:33:51.880500000,2022-06-16 04:33:51.880500000,2022-06-16 04:33:51.888800000,231.8805,231.8888,26328.0,49818.0,Echolocation,Eptesicus serotinus,0.551,0.627,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_043000.WAV,Foliage,recover-20220616_unit2,10,
58,288,30720.0,3696,2022-06-16 04:30:00,HF,2022-06-16 04:33:52.879500000,2022-06-16 04:33:52.879500000,2022-06-16 04:33:52.886700000,232.8795,232.8867,27187.0,46362.0,Echolocation,Eptesicus serotinus,0.583,0.651,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_043000.WAV,Foliage,recover-20220616_unit2,10,
59,307,29760.0,3715,2022-06-16 04:30:00,HF,2022-06-16 04:33:58.317500000,2022-06-16 04:33:58.317500000,2022-06-16 04:33:58.325500000,238.3175,238.3255,27187.0,48767.0,Echolocation,Eptesicus serotinus,0.595,0.651,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_043000.WAV,Foliage,recover-20220616_unit2,10,
60,311,29760.0,3719,2022-06-16 04:30:00,HF,2022-06-16 04:33:58.815500000,2022-06-16 04:33:58.815500000,2022-06-16 04:33:58.826400000,238.8155,238.8264,27187.0,45719.0,Echolocation,Eptesicus serotinus,0.621,0.684,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_043000.WAV,Foliage,recover-20220616_unit2,10,
61,315,29760.0,3723,2022-06-16 04:30:00,HF,2022-06-16 04:34:00.947500000,2022-06-16 04:34:00.947500000,2022-06-16 04:34:00.954700000,240.9475,240.9547,27187.0,49316.0,Echolocation,Eptesicus serotinus,0.633,0.697,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_043000.WAV,Foliage,recover-20220616_unit2,10,
62,317,29760.0,3725,2022-06-16 04:30:00,HF,2022-06-16 04:34:01.231500000,2022-06-16 04:34:01.231500000,2022-06-16 04:34:01.238500000,241.2315,241.2385,27187.0,49130.0,Echolocation,Eptesicus serotinus,0.617,0.681,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_043000.WAV,Foliage,recover-20220616_unit2,10,
63,349,29760.0,3757,2022-06-16 04:30:00,HF,2022-06-16 04:34:09.094500000,2022-06-16 04:34:09.094500000,2022-06-16 04:34:09.102100000,249.0945,249.1021,26328.0,47826.0,Echolocation,Eptesicus serotinus,0.618,0.686,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_043000.WAV,Foliage,recover-20220616_unit2,10,
64,350,27840.0,3758,2022-06-16 04:30:00,HF,2022-06-16 04:34:09.230500000,2022-06-16 04:34:09.230500000,2022-06-16 04:34:09.238400000,249.2305,249.2384,26328.0,46933.0,Echolocation,Eptesicus serotinus,0.637,0.702,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_043000.WAV,Foliage,recover-20220616_unit2,10,
65,376,30720.0,3784,2022-06-16 04:30:00,HF,2022-06-16 04:34:13.294500000,2022-06-16 04:34:13.294500000,2022-06-16 04:34:13.305300000,253.2945,253.3053,24609.0,49893.0,Echolocation,Eptesicus serotinus,0.64,0.725,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_043000.WAV,Foliage,recover-20220616_unit2,10,
66,403,32640.0,3811,2022-06-16 04:30:00,HF,2022-06-16 04:34:19.230500000,2022-06-16 04:34:19.230500000,2022-06-16 04:34:19.237600000,259.2305,259.2376,29765.0,45925.0,Echolocation,Eptesicus serotinus,0.467,0.542,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_043000.WAV,Foliage,recover-20220616_unit2,10,
67,406,35520.0,3814,2022-06-16 04:30:00,HF,2022-06-16 04:34:19.719500000,2022-06-16 04:34:19.719500000,2022-06-16 04:34:19.726500000,259.7195,259.7265,28906.0,49359.0,Echolocation,Eptesicus serotinus,0.51,0.603,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_043000.WAV,Foliage,recover-20220616_unit2,10,
68,407,32640.0,3815,2022-06-16 04:30:00,HF,2022-06-16 04:34:19.843500000,2022-06-16 04:34:19.843500000,2022-06-16 04:34:19.850100000,259.8435,259.8501,28906.0,49611.0,Echolocation,Eptesicus serotinus,0.506,0.593,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_043000.WAV,Foliage,recover-20220616_unit2,10,
69,501,29760.0,3909,2022-06-16 04:30:00,HF,2022-06-16 04:34:38.818500000,2022-06-16 04:34:38.818500000,2022-06-16 04:34:38.825800000,278.8185,278.8258,27187.0,48884.0,Echolocation,Eptesicus serotinus,0.621,0.694,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_043000.WAV,Foliage,recover-20220616_unit2,10,
70,502,30720.0,3910,2022-06-16 04:30:00,HF,2022-06-16 04:34:39.006500000,2022-06-16 04:34:39.006500000,2022-06-16 04:34:39.013800000,279.0065,279.0138,27187.0,49511.0,Echolocation,Eptesicus serotinus,0.577,0.646,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_043000.WAV,Foliage,recover-20220616_unit2,10,
71,503,31680.0,3911,2022-06-16 04:30:00,HF,2022-06-16 04:34:39.080500000,2022-06-16 04:34:39.080500000,2022-06-16 04:34:39.089700000,279.08050000000003,279.0897,28046.0,49273.0,Echolocation,Eptesicus serotinus,0.493,0.583,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_043000.WAV,Foliage,recover-20220616_unit2,10,
72,504,30720.0,3912,2022-06-16 04:30:00,HF,2022-06-16 04:34:39.142500000,2022-06-16 04:34:39.142500000,2022-06-16 04:34:39.151300000,279.1425,279.1513,27187.0,48390.0,Echolocation,Eptesicus serotinus,0.589,0.64,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_043000.WAV,Foliage,recover-20220616_unit2,10,
73,508,38400.0,3916,2022-06-16 04:30:00,LF,2022-06-16 04:34:40.239500000,2022-06-16 04:34:40.239500000,2022-06-16 04:34:40.246200000,280.2395,280.2462,28906.0,42423.0,Echolocation,Eptesicus serotinus,0.484,0.562,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_043000.WAV,Foliage,recover-20220616_unit2,10,
74,512,30720.0,3920,2022-06-16 04:30:00,HF,2022-06-16 04:34:41.555500000,2022-06-16 04:34:41.555500000,2022-06-16 04:34:41.565300000,281.5555,281.5653,27187.0,46057.0,Echolocation,Eptesicus serotinus,0.49,0.532,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_043000.WAV,Foliage,recover-20220616_unit2,10,
75,513,28800.0,3921,2022-06-16 04:30:00,HF,2022-06-16 04:34:41.671500000,2022-06-16 04:34:41.671500000,2022-06-16 04:34:41.678200000,281.6715,281.6782,27187.0,48335.0,Echolocation,Eptesicus serotinus,0.582,0.692,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220616_043000.WAV,Foliage,recover-20220616_unit2,10,
