start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card
556.8545,556.8638,38359.0,45628.0,Echolocation,Pipistrellus nathusii,0.541,0.574,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1297.6195,1297.6304,40078.0,50382.0,Echolocation,Pipistrellus nathusii,0.534,0.617,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1297.7315,1297.7412,40078.0,46798.0,Echolocation,Pipistrellus nathusii,0.61,0.667,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1297.9305,1297.9391,40078.0,47618.0,Echolocation,Pipistrellus nathusii,0.609,0.642,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1298.0435,1298.0535,39218.0,48926.0,Echolocation,Pipistrellus nathusii,0.51,0.573,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1298.2445,1298.2553,40078.0,54457.0,Echolocation,Pipistrellus nathusii,0.463,0.539,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1298.3505,1298.36,40937.0,51266.0,Echolocation,Pipistrellus nathusii,0.629,0.671,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1298.5515,1298.5621,40937.0,53404.0,Echolocation,Pipistrellus nathusii,0.577,0.615,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1298.6605,1298.6704,40078.0,50943.0,Echolocation,Pipistrellus nathusii,0.647,0.692,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1298.8555,1298.8663,40937.0,54527.0,Echolocation,Pipistrellus nathusii,0.545,0.628,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1298.9635,1298.9723,40078.0,48545.0,Echolocation,Pipistrellus nathusii,0.652,0.686,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1299.1565,1299.1663,40078.0,51878.0,Echolocation,Pipistrellus nathusii,0.694,0.71,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1299.2625,1299.2725,40078.0,48067.0,Echolocation,Pipistrellus nathusii,0.608,0.66,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1299.4625,1299.4729,40078.0,55043.0,Echolocation,Pipistrellus nathusii,0.644,0.74,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
