,Date_and_Time_UTC,Number_of_Detections (1800e1800),Number_of_Detections (300e1800),Number_of_Detections (60e360)
118,2022-08-28 09:30:00,136,68,0
119,2022-08-28 10:00:00,73,0,0
120,2022-08-28 10:30:00,190,0,21
121,2022-08-28 11:00:00,56,0,0
122,2022-08-28 11:30:00,15,0,0
123,2022-08-28 12:00:00,77,0,11
124,2022-08-28 12:30:00,62,1,40
125,2022-08-28 13:00:00,0,0,0
126,2022-08-29 03:00:00,0,0,0
127,2022-08-29 03:30:00,920,0,74
128,2022-08-29 04:00:00,76,50,8
129,2022-08-29 04:30:00,190,24,0
130,2022-08-29 05:00:00,89,44,0
131,2022-08-29 05:30:00,137,2,0
132,2022-08-29 06:00:00,86,20,4
133,2022-08-29 06:30:00,78,0,58
134,2022-08-29 07:00:00,302,53,34
135,2022-08-29 07:30:00,74,48,18
136,2022-08-29 08:00:00,29,0,0
137,2022-08-29 08:30:00,26,0,0
138,2022-08-29 09:00:00,15,0,1
139,2022-08-29 09:30:00,1,0,0
140,2022-08-29 10:00:00,8,0,0
141,2022-08-29 10:30:00,43,0,0
142,2022-08-29 11:00:00,13,0,0
143,2022-08-29 11:30:00,14,0,1
144,2022-08-29 12:00:00,94,22,33
145,2022-08-29 12:30:00,53,0,0
146,2022-08-29 13:00:00,1,1,0
