,Date_and_Time_UTC,Number_of_Detections (1800e1800),Number_of_Detections (300e1800),Number_of_Detections (60e360)
80,2022-08-26 11:30:00,3,0,0
81,2022-08-26 12:00:00,0,0,0
82,2022-08-26 12:30:00,0,0,0
83,2022-08-26 13:00:00,0,0,0
84,2022-08-27 03:00:00,0,0,0
85,2022-08-27 03:30:00,690,0,98
86,2022-08-27 04:00:00,415,17,63
87,2022-08-27 04:30:00,464,38,68
88,2022-08-27 05:00:00,169,2,54
89,2022-08-27 05:30:00,37,0,11
90,2022-08-27 06:00:00,71,0,10
91,2022-08-27 06:30:00,10,0,2
92,2022-08-27 07:00:00,31,3,0
93,2022-08-27 07:30:00,51,2,4
94,2022-08-27 08:00:00,6,0,0
95,2022-08-27 08:30:00,2,0,2
96,2022-08-27 09:00:00,1,1,1
97,2022-08-27 09:30:00,5,1,1
98,2022-08-27 10:00:00,3,1,0
99,2022-08-27 10:30:00,0,0,0
100,2022-08-27 11:00:00,0,0,0
101,2022-08-27 11:30:00,2,2,0
102,2022-08-27 12:00:00,0,0,0
103,2022-08-27 12:30:00,0,0,0
104,2022-08-27 13:00:00,0,0,0
105,2022-08-28 03:00:00,0,0,0
106,2022-08-28 03:30:00,446,0,30
107,2022-08-28 04:00:00,206,159,16
108,2022-08-28 04:30:00,242,19,84
109,2022-08-28 05:00:00,34,30,32
110,2022-08-28 05:30:00,23,15,0
111,2022-08-28 06:00:00,46,2,8
112,2022-08-28 06:30:00,15,0,3
113,2022-08-28 07:00:00,61,11,5
114,2022-08-28 07:30:00,113,17,29
115,2022-08-28 08:00:00,80,9,25
116,2022-08-28 08:30:00,1,0,0
117,2022-08-28 09:00:00,34,0,13
118,2022-08-28 09:30:00,0,0,0
119,2022-08-28 10:00:00,1,0,0
120,2022-08-28 10:30:00,2,0,0
121,2022-08-28 11:00:00,0,0,0
122,2022-08-28 11:30:00,0,0,0
123,2022-08-28 12:00:00,0,0,0
124,2022-08-28 12:30:00,1,0,0
125,2022-08-28 13:00:00,0,0,0
126,2022-08-29 03:00:00,0,0,0
127,2022-08-29 03:30:00,714,0,74
128,2022-08-29 04:00:00,43,37,8
129,2022-08-29 04:30:00,80,0,0
130,2022-08-29 05:00:00,0,0,0
131,2022-08-29 05:30:00,0,0,0
132,2022-08-29 06:00:00,4,0,4
133,2022-08-29 06:30:00,2,0,0
134,2022-08-29 07:00:00,45,0,3
135,2022-08-29 07:30:00,3,0,0
136,2022-08-29 08:00:00,0,0,0
137,2022-08-29 08:30:00,2,0,0
138,2022-08-29 09:00:00,5,0,1
139,2022-08-29 09:30:00,1,0,0
140,2022-08-29 10:00:00,0,0,0
141,2022-08-29 10:30:00,0,0,0
142,2022-08-29 11:00:00,4,0,0
143,2022-08-29 11:30:00,3,0,1
144,2022-08-29 12:00:00,7,1,2
145,2022-08-29 12:30:00,0,0,0
146,2022-08-29 13:00:00,1,1,0
