start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card
364.9435,364.9596,22890.0,29178.0,Echolocation,Nyctalus leisleri,0.374,0.591,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
365.1325,365.1495,22890.0,30050.0,Echolocation,Eptesicus serotinus,0.203,0.563,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
365.3135,365.33,22890.0,31089.0,Echolocation,Nyctalus leisleri,0.257,0.607,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
365.5695,365.5865,22890.0,28725.0,Echolocation,Nyctalus leisleri,0.199,0.533,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
365.7565,365.7742,22890.0,27791.0,Echolocation,Nyctalus leisleri,0.459,0.608,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
365.9905,366.0028,24609.0,31356.0,Echolocation,Nyctalus leisleri,0.36,0.61,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
366.1465,366.1635,22890.0,31971.0,Echolocation,Nyctalus leisleri,0.315,0.621,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
366.5855,366.6022,22890.0,28174.0,Echolocation,Nyctalus leisleri,0.38,0.538,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
367.4265,367.4428,22890.0,29346.0,Echolocation,Nyctalus leisleri,0.53,0.605,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
367.6125,367.6285,22890.0,27262.0,Echolocation,Nyctalus leisleri,0.399,0.618,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
368.0665,368.0843,22890.0,28827.0,Echolocation,Nyctalus leisleri,0.25,0.543,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
368.3415,368.3583,22890.0,26279.0,Echolocation,Nyctalus leisleri,0.546,0.605,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
368.5125,368.5308,22890.0,31081.0,Echolocation,Eptesicus serotinus,0.241,0.526,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
368.6985,368.7161,22890.0,26832.0,Echolocation,Nyctalus leisleri,0.441,0.51,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
368.9705,368.9874,22890.0,27979.0,Echolocation,Nyctalus leisleri,0.341,0.545,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
369.1585,369.1734,23750.0,28005.0,Echolocation,Nyctalus leisleri,0.504,0.589,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
369.6345,369.6531,22031.0,27145.0,Echolocation,Nyctalus leisleri,0.35,0.511,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
369.8905,369.90840000000003,22031.0,28168.0,Echolocation,Nyctalus leisleri,0.24,0.55,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
370.0735,370.0897,22031.0,26560.0,Echolocation,Nyctalus leisleri,0.436,0.58,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
370.3335,370.3531,22031.0,28334.0,Echolocation,Nyctalus leisleri,0.191,0.543,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
370.6005,370.6136,22890.0,28140.0,Echolocation,Nyctalus leisleri,0.456,0.593,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
370.7565,370.7736,22031.0,26690.0,Echolocation,Nyctalus leisleri,0.511,0.592,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
370.8865,370.8994,22890.0,28316.0,Echolocation,Nyctalus leisleri,0.269,0.517,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
371.1415,371.1544,23750.0,28281.0,Echolocation,Nyctalus leisleri,0.492,0.627,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
372.8045,372.8251,21171.0,27787.0,Echolocation,Nyctalus noctula,0.266,0.516,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
373.3475,373.3663,21171.0,27028.0,Echolocation,Nyctalus noctula,0.433,0.607,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
374.2245,374.2395,22031.0,26903.0,Echolocation,Nyctalus leisleri,0.366,0.503,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
374.4915,374.5058,22890.0,26662.0,Echolocation,Nyctalus leisleri,0.432,0.506,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
374.8565,374.8689,25468.0,31622.0,Echolocation,Nyctalus leisleri,0.324,0.593,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
375.1325,375.1439,26328.0,31593.0,Echolocation,Nyctalus leisleri,0.377,0.614,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
375.2615,375.2754,25468.0,31462.0,Echolocation,Nyctalus leisleri,0.261,0.592,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
375.3895,375.4021,26328.0,31294.0,Echolocation,Nyctalus leisleri,0.34,0.626,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
375.5205,375.5349,25468.0,33128.0,Echolocation,Eptesicus serotinus,0.357,0.606,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
